"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1933-03-01T06:00:00.000Z","5.77","6.93","5.65","5.85","3.36","2.73","0"
"1933-04-03T06:00:00.000Z","5.87","7.91","5.87","7.83","33.85","33.22","0"
"1933-05-01T05:00:00.000Z","8.43","9.78","8.34","9.64","23.12","22.49","0"
"1933-06-01T05:00:00.000Z","9.74","10.98","9.74","10.91","13.17","12.55","0"
"1933-07-03T05:00:00.000Z","11.62","12.20","9.65","9.95","-8.80","-9.42","0"
"1933-08-01T05:00:00.000Z","10.25","11.28","10.05","11.09","11.46","10.83","0"
"1933-09-01T05:00:00.000Z","11.23","11.23","9.65","9.72","-12.35","-12.98","0"
"1933-10-02T06:00:00.000Z","9.62","10.32","8.61","8.96","-7.82","-8.44","0"
"1933-11-01T06:00:00.000Z","9.12","10.23","9.12","9.88","10.27","9.65","0"
"1933-12-01T06:00:00.000Z","9.91","10.31","9.55","9.97","0.91","0.29","0"
"1934-01-02T06:00:00.000Z","10.11","11.33","9.76","11.17","12.04","11.41","0"
"1934-02-01T06:00:00.000Z","11.46","11.82","10.69","10.76","-3.67","-4.29","0"
"1934-03-01T06:00:00.000Z","10.72","11.07","10.42","10.62","-1.30","-1.92","0"
"1934-04-02T06:00:00.000Z","10.76","11.16","10.46","10.46","-1.51","-2.13","0"
"1934-05-01T05:00:00.000Z","10.46","10.46","9.45","9.61","-8.13","-8.75","0"
"1934-06-01T05:00:00.000Z","9.38","10.37","9.38","9.81","2.08","1.46","0"
"1934-07-02T05:00:00.000Z","9.69","9.99","8.36","8.68","-11.52","-12.14","0"
"1934-08-01T05:00:00.000Z","8.95","9.52","8.69","9.15","5.41","4.79","0"
"1934-09-04T05:00:00.000Z","9.06","9.21","8.45","9.08","-0.77","-1.39","0"
"1934-10-01T06:00:00.000Z","8.83","9.19","8.76","8.81","-2.97","-3.60","0"
"1934-11-01T06:00:00.000Z","8.77","9.54","8.77","9.54","8.29","7.66","0"
"1934-12-03T06:00:00.000Z","9.41","9.56","9.02","9.50","-0.42","-1.04","0"
"1935-01-02T06:00:00.000Z","9.51","9.58","8.96","9.10","-4.21","-4.83","0"
"1935-02-01T06:00:00.000Z","9.05","9.34","8.74","8.74","-3.96","-4.58","0"
"1935-03-01T06:00:00.000Z","8.79","8.79","8.06","8.45","-3.32","-3.94","0"
"1935-04-01T06:00:00.000Z","8.54","9.44","8.22","9.28","9.82","9.20","0"
"1935-05-01T05:00:00.000Z","9.23","10.07","9.15","9.58","3.23","2.61","0"
"1935-06-03T05:00:00.000Z","9.67","10.47","9.67","10.24","6.89","6.27","0"
"1935-07-01T05:00:00.000Z","10.28","11.08","10.28","11.08","8.20","7.58","0"
"1935-08-01T05:00:00.000Z","11.04","11.67","10.62","11.24","1.44","0.82","0"
"1935-09-03T05:00:00.000Z","11.21","11.92","11.21","11.59","3.11","2.49","0"
"1935-10-01T06:00:00.000Z","11.48","12.46","11.10","12.46","7.51","6.88","0"
"1935-11-01T06:00:00.000Z","12.61","13.46","12.61","12.94","3.85","3.23","0"
"1935-12-02T06:00:00.000Z","12.75","13.43","12.75","13.43","3.79","3.16","0"
"1936-01-02T06:00:00.000Z","13.40","14.31","13.40","14.31","6.55","5.93","0"
"1936-02-03T06:00:00.000Z","14.44","14.87","14.32","14.60","2.03","1.40","0"
"1936-03-02T05:00:00.000Z","14.77","15.10","14.24","14.92","2.19","1.57","0"
"1936-04-01T05:00:00.000Z","15.19","15.51","13.53","13.77","-7.71","-8.33","0"
"1936-05-01T05:00:00.000Z","13.87","14.45","13.82","14.40","4.58","3.95","0"
"1936-06-01T05:00:00.000Z","14.39","15.16","14.12","14.84","3.06","2.43","0"
"1936-07-01T05:00:00.000Z","14.90","16.15","14.81","15.85","6.81","6.18","0"
"1936-08-03T05:00:00.000Z","15.91","16.20","15.32","15.99","0.88","0.26","0"
"1936-09-01T05:00:00.000Z","15.95","16.29","15.00","16.01","0.13","-0.50","0"
"1936-10-01T05:00:00.000Z","16.04","17.23","16.04","17.23","7.62","7.00","0"
"1936-11-02T05:00:00.000Z","17.17","17.69","16.89","17.28","0.29","-0.33","0"
"1936-12-01T06:00:00.000Z","17.14","17.32","16.65","17.18","-0.58","-1.20","0"
"1937-01-04T06:00:00.000Z","16.93","17.96","16.93","17.77","3.43","2.81","0"
"1937-02-01T06:00:00.000Z","17.88","18.37","17.86","18.06","1.63","1.01","0"
"1937-03-01T06:00:00.000Z","18.09","18.67","17.22","17.92","-0.78","-1.40","0"
"1937-04-01T06:00:00.000Z","17.71","17.71","15.99","16.43","-8.31","-8.94","0"
"1937-05-03T05:00:00.000Z","16.47","16.73","15.62","16.26","-1.03","-1.66","0"
"1937-06-01T05:00:00.000Z","15.96","16.28","15.12","15.40","-5.29","-5.91","0"
"1937-07-01T05:00:00.000Z","15.47","17.06","15.47","16.77","8.90","8.27","0"
"1937-08-02T05:00:00.000Z","17.07","17.27","15.88","16.04","-4.35","-4.98","0"
"1937-09-01T05:00:00.000Z","15.61","15.61","13.20","13.76","-14.21","-14.84","0"
"1937-10-01T06:00:00.000Z","13.72","13.72","10.76","12.35","-10.25","-10.87","0"
"1937-11-01T06:00:00.000Z","12.08","12.08","10.17","11.11","-10.04","-10.66","0"
"1937-12-01T06:00:00.000Z","10.97","11.42","10.31","10.55","-5.04","-5.66","0"
"1938-01-03T06:00:00.000Z","10.52","11.95","10.52","10.69","1.33","0.70","0"
"1938-02-01T06:00:00.000Z","10.89","11.68","10.34","11.34","6.08","5.46","0"
"1938-03-01T06:00:00.000Z","11.46","11.46","8.50","8.50","-25.04","-25.67","0"
"1938-04-01T06:00:00.000Z","8.91","10.45","8.91","9.78","15.06","14.44","0"
